Team,Maps,RW%,OpK,MultiK,5v4%,4v5%,Traded%,ADR,FA,Map Name
Tsunami Sirens,1,46.3%,39.0%,0.83,75.0%,28.0%,26.1%,23.5,0.39,Ancient
Bromo,12,52.2%,52.2%,0.85,74.3%,28.1%,18.8%,22.1,0.28,Ancient
FAVBET,32,50.6%,52.2%,0.85,69.5%,29.6%,23.3%,27.7,0.28,Ancient
FORZE,18,51.1%,49.9%,0.82,70.7%,31.6%,18.5%,22.5,0.27,Ancient
thekillaz fe,9,47.9%,42.7%,0.83,73.5%,28.4%,22.1%,22.8,0.29,Ancient
Daystar,2,59.0%,51.3%,0.77,66.7%,50.0%,21.1%,19.4,0.18,Ancient
InControl,4,52.1%,46.9%,0.77,82.2%,25.5%,17.9%,24.6,0.23,Ancient
sYnck,9,49.7%,51.3%,0.75,66.7%,31.9%,23.0%,21.6,0.12,Ancient
Romania,1,45.8%,41.7%,0.75,80.0%,21.4%,14.3%,16.3,0.17,Ancient
Cloud9,29,50.9%,52.4%,0.77,69.4%,30.3%,21.7%,24.5,0.26,Ancient
MASONIC,8,50.2%,51.2%,0.78,74.8%,24.5%,22.9%,24.8,0.17,Ancient
Into the Breach,45,49.0%,47.1%,0.79,71.7%,28.8%,20.7%,25.1,0.22,Ancient
SINNERS,67,51.0%,49.6%,0.80,72.0%,30.4%,18.4%,23.2,0.22,Ancient
Kappa Bar,7,51.5%,50.9%,0.77,75.9%,26.2%,19.7%,31.7,0.25,Ancient
Apogee,19,52.7%,51.3%,0.77,71.0%,33.2%,21.0%,23.4,0.24,Ancient
Preasy,48,49.0%,49.8%,0.78,70.5%,27.7%,21.2%,25.0,0.30,Ancient
Kyoto,2,45.0%,47.5%,0.88,63.2%,28.6%,25.5%,16.4,0.12,Ancient
3DMAX,67,47.9%,48.7%,0.80,71.5%,25.5%,21.6%,27.4,0.28,Ancient
adalYamigos,9,49.5%,55.2%,0.82,70.8%,23.3%,21.0%,19.9,0.20,Ancient
1WIN,27,50.9%,46.7%,0.77,73.5%,31.2%,20.9%,20.2,0.18,Ancient
The Nomads,2,50.0%,56.8%,0.80,72.0%,21.1%,17.4%,21.2,0.23,Ancient
HEROIC,38,52.4%,51.6%,0.79,74.9%,28.3%,19.7%,22.4,0.28,Ancient
Unjustified,5,50.0%,53.6%,0.74,69.2%,28.3%,27.1%,25.9,0.17,Ancient
Case,67,49.4%,51.8%,0.81,71.5%,25.6%,20.7%,21.9,0.22,Ancient
BIG Academy,5,48.8%,52.4%,0.73,70.5%,25.0%,17.0%,16.2,0.30,Ancient
OG,42,50.1%,50.7%,0.80,74.1%,25.4%,21.3%,20.9,0.27,Ancient
Cloud 10,4,52.4%,52.4%,0.85,70.9%,32.0%,19.4%,25.4,0.15,Ancient
Vikings KR,29,47.6%,46.4%,0.75,69.8%,28.4%,20.0%,21.4,0.22,Ancient
BetBoom,47,51.7%,46.7%,0.80,74.8%,31.5%,21.0%,23.1,0.18,Ancient
Eruption,5,50.0%,48.0%,0.81,62.5%,38.5%,15.4%,22.7,0.18,Ancient
AIRLYA,3,52.6%,50.0%,0.86,79.5%,24.3%,24.1%,22.4,0.29,Ancient
True Rippers,16,49.6%,50.7%,0.80,66.5%,32.0%,21.3%,24.2,0.26,Ancient
Meteor,6,51.1%,45.9%,0.80,65.6%,38.9%,18.2%,25.5,0.20,Ancient
Betera,14,49.7%,50.6%,0.77,70.3%,28.6%,19.8%,22.1,0.29,Ancient
Flamengo,7,50.3%,47.8%,0.80,73.3%,29.3%,22.0%,28.8,0.18,Ancient
SAW,41,50.8%,49.3%,0.76,74.3%,27.9%,19.3%,29.0,0.24,Ancient
LAG,41,49.6%,46.6%,0.81,73.8%,28.5%,22.9%,23.6,0.25,Ancient
brazylijski luz,16,48.0%,50.9%,0.77,73.6%,21.8%,21.2%,21.9,0.23,Ancient
BHOP,1,38.1%,66.7%,0.81,57.1%,0.0%,23.5%,23.2,0.24,Ancient
st4rboys,2,42.9%,38.1%,0.76,68.8%,26.9%,20.8%,21.4,0.17,Ancient
Endpoint,65,48.0%,49.0%,0.79,70.4%,26.6%,20.0%,24.0,0.20,Ancient
Blessed,4,49.6%,47.8%,0.80,66.7%,33.9%,18.6%,24.8,0.19,Ancient
AJF,3,47.4%,45.6%,0.82,77.8%,20.0%,20.5%,20.6,0.39,Ancient
Nemesis fe,2,48.9%,60.0%,0.69,66.7%,22.2%,20.8%,23.9,0.31,Ancient
ENCE,34,48.8%,50.9%,0.79,72.8%,24.1%,18.3%,25.1,0.26,Ancient
Meta,3,48.7%,57.1%,0.72,61.4%,32.4%,22.4%,25.1,0.17,Ancient
VP.Angels,4,51.1%,50.0%,0.92,70.5%,31.8%,20.7%,34.2,0.18,Ancient
FLUFFY AIMERS,45,48.8%,50.6%,0.82,70.4%,26.4%,20.3%,21.8,0.23,Ancient
Pak Boyz,3,48.5%,39.4%,0.83,73.1%,32.5%,22.8%,14.9,0.20,Ancient
Party Astronauts,40,49.3%,48.9%,0.80,67.8%,31.4%,21.8%,27.6,0.30,Ancient
The Chosen Few,4,51.5%,47.0%,0.83,83.0%,24.1%,21.2%,27.1,0.30,Ancient
ENCE Academy,17,48.7%,52.1%,0.79,72.7%,22.7%,20.3%,28.0,0.26,Ancient
GhoulsW,1,54.2%,54.2%,0.58,69.2%,36.4%,17.2%,15.0,0.29,Ancient
The Prodigies,4,51.6%,54.9%,0.74,70.0%,29.3%,17.9%,17.7,0.19,Ancient
The Art of War,13,50.9%,53.8%,0.77,72.0%,26.4%,18.6%,27.9,0.29,Ancient
V1dar,3,43.4%,47.2%,0.75,68.0%,21.4%,17.6%,25.0,0.25,Ancient
Enterprise,33,49.6%,46.4%,0.80,73.7%,28.9%,19.3%,24.3,0.25,Ancient
TYLOO,18,47.5%,50.1%,0.78,73.0%,21.8%,19.5%,20.3,0.33,Ancient
Spirit fe,22,46.8%,52.8%,0.80,68.8%,22.0%,21.4%,19.9,0.18,Ancient
XI,3,48.2%,42.9%,0.84,75.0%,28.1%,25.3%,27.4,0.29,Ancient
Complexity,27,47.3%,52.8%,0.78,65.6%,26.9%,19.3%,24.1,0.23,Ancient
ENEIDA,1,45.8%,54.2%,0.62,61.5%,27.3%,22.2%,13.6,0.04,Ancient
Nexus,62,48.5%,47.9%,0.79,71.9%,27.0%,19.6%,19.9,0.22,Ancient
BC.Game,7,46.2%,45.0%,0.84,63.9%,31.8%,22.3%,20.2,0.20,Ancient
BESTIA,43,49.3%,50.4%,0.81,70.5%,27.8%,20.0%,22.3,0.28,Ancient
Shanghai Sharks,1,46.7%,40.0%,0.73,75.0%,27.8%,26.7%,14.6,0.17,Ancient
Superfkrs,1,44.8%,53.6%,0.72,66.7%,21.4%,12.7%,13.9,0.28,Ancient
MCS,1,38.1%,40.0%,0.86,66.7%,16.7%,20.5%,27.7,0.05,Ancient
SENSEI,4,48.9%,48.9%,0.83,70.5%,27.3%,19.2%,19.8,0.12,Ancient
Wizard,2,51.1%,57.8%,0.87,65.4%,31.6%,17.3%,17.0,0.20,Ancient
Alliance,52,48.1%,50.1%,0.78,68.5%,27.2%,18.5%,30.0,0.24,Ancient
Young Ninjas,19,47.1%,47.9%,0.80,72.0%,24.3%,20.5%,24.3,0.22,Ancient
W7M,55,50.8%,48.1%,0.77,74.3%,29.1%,18.5%,20.8,0.26,Ancient
DEATHROW,2,44.2%,48.8%,0.84,66.7%,22.7%,17.7%,28.9,0.09,Ancient
E9,1,38.1%,42.9%,1.00,55.6%,25.0%,25.3%,19.7,0.14,Ancient
Aurora Young Blud,42,49.3%,49.7%,0.80,71.2%,27.5%,20.4%,23.4,0.27,Ancient
Lilmix,15,47.5%,47.5%,0.80,71.7%,25.6%,19.0%,23.8,0.21,Ancient
SovvyKiNG,1,43.5%,43.5%,0.78,70.0%,23.1%,22.4%,27.9,0.22,Ancient
ex-ENEIDA,7,45.8%,51.0%,0.74,69.6%,21.1%,19.7%,23.9,0.18,Ancient
CPH Wolves,52,47.7%,49.0%,0.80,69.4%,26.9%,18.8%,23.4,0.21,Ancient
mYinsanity,3,42.6%,52.5%,0.79,62.5%,20.7%,22.3%,22.4,0.30,Ancient
GamerLegion,38,48.0%,49.0%,0.80,69.6%,27.4%,21.5%,24.9,0.21,Ancient
VexX,3,50.9%,49.1%,0.75,59.3%,42.9%,16.2%,22.9,0.33,Ancient
2ez,3,46.6%,46.6%,0.88,63.0%,32.3%,15.7%,35.0,0.28,Ancient
Illuminar,43,48.2%,49.1%,0.76,68.2%,29.0%,19.6%,25.4,0.24,Ancient
Real Gamers,1,45.8%,37.5%,0.67,77.8%,26.7%,24.1%,18.3,0.21,Ancient
Latvia,4,44.9%,50.6%,0.82,76.1%,11.6%,22.6%,15.3,0.29,Ancient
TNL,5,46.1%,48.3%,0.81,67.4%,26.1%,24.9%,11.1,0.25,Ancient
Falcons,22,46.8%,45.9%,0.79,70.8%,26.5%,16.9%,26.0,0.22,Ancient
Rebels,54,49.5%,48.5%,0.77,72.4%,27.9%,18.5%,21.6,0.24,Ancient
iNation,3,46.3%,58.2%,0.72,66.7%,17.9%,21.3%,25.0,0.21,Ancient
Reason,3,47.0%,43.9%,0.82,72.4%,27.0%,20.5%,20.4,0.20,Ancient
Clutch,6,44.7%,49.2%,0.83,61.5%,28.4%,18.8%,19.8,0.15,Ancient
Israel,1,45.7%,48.6%,0.89,64.7%,27.8%,26.4%,36.4,0.40,Ancient
Entropiq,17,46.8%,43.7%,0.76,73.8%,25.7%,19.0%,21.2,0.25,Ancient
Final Form,10,44.7%,45.1%,0.88,68.1%,25.0%,21.4%,22.6,0.22,Ancient
Aether,3,47.1%,55.9%,0.81,76.3%,10.0%,22.8%,26.8,0.24,Ancient
more whiskey,1,43.5%,39.1%,1.00,33.3%,50.0%,21.1%,25.8,0.22,Ancient
Verdant,32,46.4%,45.7%,0.79,71.8%,25.2%,18.4%,21.1,0.26,Ancient
The Huns,13,43.9%,48.3%,0.81,63.0%,26.1%,18.4%,26.0,0.27,Ancient
Perseverance,3,45.7%,41.4%,0.77,65.5%,31.7%,17.1%,24.4,0.19,Ancient
G3,4,43.6%,53.8%,0.71,64.3%,19.4%,18.5%,17.7,0.18,Ancient
LOS,7,47.0%,49.3%,0.82,69.7%,25.0%,20.6%,20.0,0.27,Ancient
EYEBALLERS,59,47.1%,49.5%,0.78,70.2%,24.5%,18.0%,27.1,0.21,Ancient
Nixuh,4,45.9%,42.4%,0.80,78.4%,20.8%,21.6%,19.7,0.18,Ancient
HSG fe,12,46.7%,48.2%,0.81,66.1%,28.6%,21.4%,22.2,0.32,Ancient
ECSTATIC,45,48.1%,46.9%,0.76,70.2%,28.6%,19.9%,26.2,0.26,Ancient
Fearless Cheetahs,4,44.6%,53.0%,0.80,65.9%,20.5%,17.2%,28.1,0.29,Ancient
SR Nacague,2,49.0%,45.1%,0.82,73.9%,28.6%,16.6%,32.0,0.31,Ancient
ex-Enterprise,7,49.6%,43.8%,0.77,73.3%,31.2%,19.1%,27.2,0.19,Ancient
WW,11,45.7%,50.5%,0.76,68.5%,22.7%,21.6%,20.7,0.20,Ancient
ex-sYnck,2,51.6%,54.8%,0.71,70.6%,28.6%,20.0%,27.2,0.26,Ancient
Major Abusers,2,51.3%,53.8%,0.77,85.7%,11.1%,13.8%,14.1,0.18,Ancient
Hungary,3,50.8%,47.5%,0.79,82.8%,21.9%,22.7%,34.1,0.31,Ancient
Fraud5,1,46.7%,53.3%,0.80,81.2%,7.1%,19.8%,33.7,0.33,Ancient
Drippy Lab,2,45.9%,43.2%,0.86,62.5%,33.3%,21.4%,11.9,0.16,Ancient
Sissi State Punks,3,50.0%,39.1%,0.84,84.0%,28.2%,21.2%,30.5,0.12,Ancient
O PLANO,2,51.1%,57.4%,0.85,59.3%,40.0%,16.4%,15.9,0.06,Ancient
Space,32,44.1%,49.6%,0.75,67.0%,21.4%,19.3%,23.6,0.18,Ancient
BeBold,2,43.5%,50.0%,0.70,56.5%,30.4%,17.4%,29.0,0.15,Ancient
Rum Bumpers,1,44.8%,37.9%,0.79,63.6%,33.3%,20.8%,31.1,0.17,Ancient
ALTERNATE aTTaX,76,46.4%,48.9%,0.77,68.6%,25.2%,19.2%,24.4,0.25,Ancient
Espionage,25,47.4%,46.0%,0.75,73.2%,25.3%,19.9%,24.0,0.24,Ancient
AL QATRAO,1,54.2%,47.8%,0.75,72.7%,38.5%,25.9%,22.7,0.42,Ancient
EVOLUTION,1,44.8%,55.2%,0.76,56.2%,30.8%,17.2%,33.1,0.10,Ancient
Carnival,5,48.2%,49.1%,0.79,75.9%,21.4%,23.6%,14.7,0.24,Ancient
Stealth,5,42.3%,47.7%,0.70,64.2%,22.4%,20.4%,25.7,0.23,Ancient
Norway fe,1,47.6%,52.4%,0.74,77.3%,15.0%,20.1%,21.7,0.02,Ancient
TÓR,3,53.8%,46.2%,0.71,80.0%,31.4%,21.7%,19.2,0.29,Ancient
TIMACETA,4,44.6%,53.0%,0.69,68.2%,17.9%,14.5%,22.4,0.16,Ancient
Denmark fe,2,42.1%,47.4%,0.71,61.1%,25.0%,16.0%,34.9,0.11,Ancient
SKIBIDIES,2,52.3%,52.3%,0.80,78.3%,23.8%,20.4%,20.6,0.14,Ancient
regain,5,45.1%,50.8%,0.81,69.4%,20.0%,20.6%,33.3,0.20,Ancient
Netherlands fe,1,54.3%,57.1%,0.86,85.0%,13.3%,26.8%,23.4,0.31,Ancient
Galorys,49,44.4%,47.3%,0.74,67.2%,24.0%,19.4%,24.1,0.22,Ancient
DASH,9,48.5%,48.5%,0.79,63.6%,34.3%,20.9%,24.0,0.26,Ancient
OneDay fe,5,50.0%,47.8%,0.80,67.3%,33.9%,20.3%,22.3,0.17,Ancient
SWEET BONANZERS,1,35.0%,30.0%,0.80,66.7%,21.4%,27.2%,13.5,0.15,Ancient
TOG,2,45.2%,45.2%,0.81,73.7%,21.7%,22.7%,25.8,0.24,Ancient
Mindfreak,21,45.1%,44.7%,0.77,67.0%,27.1%,20.0%,25.6,0.23,Ancient
Fisher Tsunami,1,38.1%,57.1%,0.81,58.3%,11.1%,22.0%,24.9,0.29,Ancient
Secret,13,43.1%,45.7%,0.72,67.8%,22.6%,19.5%,25.2,0.21,Ancient
Xiaoma,1,40.9%,59.1%,0.91,53.8%,22.2%,9.8%,31.2,0.18,Ancient
ARCRED,29,44.5%,48.8%,0.77,67.3%,22.9%,22.2%,20.5,0.12,Ancient
sunday school,6,45.3%,46.8%,0.70,67.6%,25.9%,20.1%,28.9,0.22,Ancient
WahWah,3,41.4%,43.1%,0.72,60.0%,27.3%,23.7%,15.0,0.09,Ancient
Lazer Cats,2,40.9%,44.2%,0.70,57.9%,28.0%,22.0%,20.5,0.09,Ancient
Walkover,1,45.8%,50.0%,0.62,83.3%,8.3%,19.3%,21.5,0.12,Ancient
TALON,7,45.2%,44.3%,0.82,70.1%,26.0%,18.4%,21.2,0.22,Ancient
RGW,1,46.7%,50.0%,0.80,75.0%,14.3%,19.1%,24.7,0.23,Ancient
lajtbitexe,7,47.7%,45.8%,0.80,70.0%,28.9%,16.8%,19.7,0.10,Ancient
NOM,13,46.0%,46.2%,0.82,67.2%,28.0%,20.4%,21.6,0.17,Ancient
ex-Sprout,2,53.7%,65.9%,0.71,59.3%,42.9%,14.5%,20.7,0.20,Ancient
AK BARS,2,44.8%,43.1%,0.90,64.0%,30.3%,22.7%,19.6,0.14,Ancient
Dusty Roots,27,46.9%,48.4%,0.77,71.7%,23.5%,18.5%,18.8,0.22,Ancient
complicated,1,35.0%,65.0%,0.75,53.8%,0.0%,13.9%,32.8,0.30,Ancient
Crescent fe,7,43.1%,45.8%,0.82,69.7%,20.5%,17.0%,32.2,0.23,Ancient
Czech Republic,2,48.9%,36.2%,0.85,70.6%,36.7%,26.5%,27.3,0.09,Ancient
GODSENT,20,45.7%,47.5%,0.73,68.2%,25.3%,18.3%,22.3,0.29,Ancient
Hype,27,46.0%,43.7%,0.75,71.1%,26.5%,20.0%,21.5,0.25,Ancient
Zomblers Academy,1,38.1%,61.9%,0.67,46.2%,25.0%,15.1%,9.9,0.14,Ancient
KRÜ,34,47.2%,45.1%,0.73,70.0%,28.4%,20.4%,21.8,0.21,Ancient
Rhyno,25,45.7%,47.1%,0.76,68.2%,25.3%,20.1%,21.8,0.25,Ancient
Sheer Conquer,2,42.4%,30.3%,0.85,70.0%,30.4%,17.7%,23.7,0.12,Ancient
GL Academy,8,44.6%,52.2%,0.71,62.5%,25.0%,20.1%,22.9,0.25,Ancient
Haspers,2,46.3%,46.3%,0.78,68.4%,27.3%,17.5%,25.3,0.20,Ancient
GenOne,14,43.4%,42.8%,0.78,65.2%,26.7%,18.6%,20.9,0.24,Ancient
NewBALLS,3,48.2%,48.2%,0.70,74.1%,24.1%,19.3%,14.4,0.16,Ancient
PGE Turow,6,46.3%,47.2%,0.72,72.4%,23.1%,17.2%,28.8,0.16,Ancient
WOPA,11,48.5%,49.1%,0.72,74.8%,23.3%,18.0%,17.7,0.21,Ancient
Blue Otter Karma,4,46.8%,34.2%,0.77,85.2%,26.9%,21.5%,26.4,0.42,Ancient
OMiT,6,46.4%,44.6%,0.72,72.0%,25.8%,18.6%,20.6,0.25,Ancient
Madness,1,43.5%,56.5%,0.70,61.5%,20.0%,20.4%,23.7,0.09,Ancient
Flying Angels,1,40.9%,54.5%,0.82,50.0%,30.0%,13.8%,24.5,0.14,Ancient
Portugal,3,46.4%,56.5%,0.72,64.1%,23.3%,19.2%,25.6,0.19,Ancient
LaChampionsLiga,2,43.2%,48.6%,0.84,61.1%,26.3%,15.9%,32.6,0.32,Ancient
Angel numbers,2,50.0%,50.0%,0.70,72.7%,27.3%,21.0%,21.7,0.14,Ancient
AVEZ,1,45.8%,50.0%,0.88,75.0%,16.7%,22.5%,20.7,0.12,Ancient
EK Violet,1,46.7%,55.2%,0.83,68.8%,21.4%,20.2%,23.4,0.23,Ancient
Molotov,7,49.1%,43.3%,0.81,69.0%,34.0%,21.8%,23.3,0.18,Ancient
Belgium,1,31.6%,36.8%,0.79,71.4%,8.3%,31.4%,35.4,0.11,Ancient
OVERFRAG,2,42.2%,46.7%,0.69,71.4%,16.7%,18.9%,27.9,0.09,Ancient
HyperSpirit,2,42.0%,48.0%,0.76,66.7%,19.2%,20.7%,17.9,0.14,Ancient
GUILD fe,6,44.7%,43.9%,0.78,72.2%,23.2%,17.7%,20.7,0.22,Ancient
For Fun,1,40.9%,45.5%,1.00,50.0%,33.3%,23.0%,23.3,0.18,Ancient
ShindeN,3,42.0%,42.0%,0.82,71.4%,20.7%,20.1%,23.5,0.38,Ancient
Akimbo,12,43.6%,48.6%,0.79,67.8%,20.8%,19.2%,19.3,0.19,Ancient
Patins da Ferrari,23,45.4%,45.1%,0.75,67.3%,27.5%,18.8%,17.1,0.20,Ancient
Noobs But Diligent,1,43.5%,47.8%,0.74,72.7%,16.7%,15.7%,26.0,0.17,Ancient
The QUBE,6,45.2%,50.4%,0.79,61.9%,28.6%,19.3%,25.5,0.21,Ancient
Mai Mee Tang,1,45.0%,40.0%,0.72,68.8%,29.2%,16.0%,19.3,0.20,Ancient
SNOGARD Dragons,1,43.5%,47.8%,0.91,63.6%,25.0%,19.8%,34.7,0.35,Ancient
Mythic,25,44.4%,45.6%,0.75,66.9%,25.4%,19.2%,24.3,0.21,Ancient
Lemondogs,2,44.2%,49.0%,0.73,68.0%,22.2%,27.2%,29.3,0.17,Ancient
GHR,1,40.9%,50.0%,0.64,72.7%,9.1%,21.4%,14.3,0.09,Ancient
FengDa,1,43.5%,39.1%,0.65,66.7%,28.6%,21.2%,24.7,0.04,Ancient
Monarch Realm,2,45.5%,56.8%,0.91,64.0%,21.1%,16.0%,30.7,0.27,Ancient
FORZE Reload,3,49.4%,41.6%,0.84,65.6%,37.8%,16.0%,19.9,0.22,Ancient
FURIA Academy,9,38.7%,48.2%,0.70,61.4%,17.8%,19.4%,18.7,0.27,Ancient
NomadS,5,43.8%,43.8%,0.76,61.9%,29.6%,16.1%,25.0,0.25,Ancient
Pikejagarna,2,47.1%,40.0%,0.71,70.0%,32.3%,24.7%,39.0,0.18,Ancient
Yawara,11,45.8%,45.5%,0.76,66.4%,29.0%,22.8%,27.7,0.30,Ancient
Enterprise Gen,1,38.1%,61.9%,0.81,53.8%,12.5%,22.9%,20.5,0.19,Ancient
Marca Registrada,2,50.0%,50.0%,0.82,76.5%,23.5%,22.2%,18.9,0.29,Ancient
ENCE Athena,9,44.4%,43.4%,0.75,62.2%,30.8%,20.3%,20.6,0.05,Ancient
Nigma Galaxy,3,44.6%,46.4%,0.77,61.5%,30.0%,20.6%,20.0,0.16,Ancient
Dewa United,6,43.5%,46.6%,0.83,63.9%,25.7%,19.8%,15.8,0.16,Ancient
ABT,1,54.2%,50.0%,0.75,83.3%,25.0%,23.5%,18.7,0.04,Ancient
Astralis Talent,22,43.8%,46.9%,0.71,64.8%,25.1%,18.4%,26.5,0.28,Ancient
Smoke,3,41.0%,36.1%,0.59,72.7%,23.1%,19.7%,19.2,0.26,Ancient
INFINITE,9,46.4%,40.9%,0.71,71.6%,29.0%,16.1%,19.5,0.26,Ancient
Vex Dragons,2,39.5%,37.2%,0.67,75.0%,18.5%,12.2%,18.2,0.16,Ancient
ADEPTS,3,43.8%,39.1%,0.78,68.0%,28.2%,17.7%,22.9,0.28,Ancient
Viperio,17,42.0%,45.5%,0.78,65.0%,22.9%,19.2%,23.7,0.23,Ancient
Grannys Knockers,8,45.3%,50.3%,0.68,59.4%,31.2%,18.8%,22.1,0.22,Ancient
LEON,14,39.7%,45.3%,0.76,64.7%,19.3%,17.6%,21.5,0.16,Ancient
PeeP,2,40.9%,36.4%,0.77,62.5%,28.6%,19.1%,17.7,0.30,Ancient
REAL MADRID,1,43.5%,26.1%,0.87,66.7%,35.3%,18.1%,19.0,0.04,Ancient
Arcade,5,43.4%,50.5%,0.72,56.9%,29.2%,17.0%,29.5,0.28,Ancient
Eternal Fire,2,42.2%,48.9%,0.78,63.6%,21.7%,16.5%,21.3,0.24,Ancient
Lotus fe,7,42.9%,51.4%,0.70,58.3%,26.5%,21.2%,22.2,0.15,Ancient
Vantage,10,41.0%,46.7%,0.72,62.8%,22.1%,19.0%,18.1,0.22,Ancient
Forward,1,45.8%,41.7%,0.71,60.0%,35.7%,19.5%,38.7,0.04,Ancient
Spain,1,35.0%,35.0%,0.80,85.7%,7.7%,17.9%,27.1,0.35,Ancient
9z Academy,13,40.8%,45.8%,0.75,59.8%,24.5%,17.7%,18.6,0.23,Ancient
Corinthians,17,42.9%,45.2%,0.70,70.2%,20.5%,19.3%,20.7,0.27,Ancient
Back2TheGame,2,46.2%,39.2%,0.73,70.0%,31.2%,14.7%,25.1,0.35,Ancient
NITRO,5,41.8%,43.9%,0.67,60.5%,27.3%,17.4%,22.2,0.24,Ancient
Genei Ryodan,1,31.6%,31.6%,0.89,50.0%,23.1%,17.8%,29.1,0.11,Ancient
MIGHT,16,41.7%,43.8%,0.76,68.2%,21.1%,19.8%,20.2,0.23,Ancient
Elocon,1,40.9%,40.9%,0.64,88.9%,7.7%,17.3%,20.3,0.27,Ancient
WICKED,3,39.7%,50.0%,0.71,65.5%,13.8%,18.5%,33.1,0.24,Ancient
The Boys,1,43.5%,43.5%,0.61,70.0%,23.1%,10.1%,21.2,0.04,Ancient
jahsdnmasjdm,4,43.0%,45.3%,0.78,70.8%,20.3%,20.8%,23.1,0.20,Ancient
ThunderFlash,5,34.8%,45.7%,0.71,64.3%,10.0%,16.7%,26.6,0.21,Ancient
Argentina fe,1,45.8%,37.5%,0.71,77.8%,26.7%,18.3%,21.3,0.12,Ancient
NKT,8,42.1%,44.1%,0.74,66.7%,23.0%,17.0%,18.2,0.25,Ancient
Carpe Diem,13,44.9%,46.4%,0.72,70.9%,22.6%,18.4%,18.8,0.22,Ancient
Gostivar,1,40.9%,40.9%,0.50,66.7%,23.1%,18.3%,19.6,0.09,Ancient
ex-Preasy,6,43.8%,40.4%,0.66,76.3%,21.8%,18.4%,26.1,0.21,Ancient
ONi,4,35.4%,50.0%,0.71,43.9%,26.8%,14.8%,22.0,0.32,Ancient
ARAVT,1,44.8%,48.3%,0.83,71.4%,20.0%,22.1%,26.3,0.14,Ancient
EVO-Cyber,1,43.5%,47.8%,0.70,72.7%,16.7%,13.3%,17.6,0.09,Ancient
DXA,6,39.2%,46.4%,0.70,58.6%,22.4%,13.1%,21.3,0.26,Ancient
Daugava,1,31.6%,36.8%,0.63,57.1%,16.7%,16.9%,18.1,0.00,Ancient
Evil Geniuses,3,38.2%,41.2%,0.76,57.1%,25.0%,17.8%,27.9,0.25,Ancient
The Neighbours,2,42.1%,45.9%,0.74,70.6%,19.0%,18.5%,35.5,0.16,Ancient
Sashi Academy,2,39.5%,35.7%,0.60,66.7%,25.0%,21.1%,27.9,0.21,Ancient
Villainous,2,43.6%,43.6%,0.74,64.7%,27.3%,14.1%,31.9,0.10,Ancient
30 Seconds To Win,1,38.1%,47.6%,0.67,60.0%,18.2%,18.4%,20.8,0.10,Ancient
awesome academy,2,40.9%,43.2%,0.73,73.7%,16.0%,15.2%,25.2,0.23,Ancient
Revenge Nation,11,40.8%,41.3%,0.69,70.5%,20.0%,20.2%,15.4,0.15,Ancient
AntyDPM,1,35.0%,50.0%,0.65,50.0%,20.0%,27.0%,25.3,0.25,Ancient
500 Rush,1,35.0%,50.0%,0.70,40.0%,30.0%,18.6%,19.4,0.20,Ancient
Limitless,30,41.0%,44.3%,0.72,64.6%,22.3%,20.2%,22.2,0.28,Ancient
RKON,4,41.3%,46.7%,0.67,62.9%,22.5%,17.5%,27.8,0.27,Ancient
SPORT,4,40.8%,56.6%,0.62,53.5%,24.2%,14.6%,27.3,0.26,Ancient
Young Gods,5,44.3%,43.4%,0.73,73.9%,21.7%,15.4%,19.8,0.14,Ancient
vagrants,1,40.9%,40.9%,0.73,66.7%,23.1%,23.5%,21.8,0.09,Ancient
WiLD,1,43.5%,47.8%,0.52,81.8%,8.3%,20.0%,23.4,0.17,Ancient
EXDHQ,1,43.5%,43.5%,0.78,70.0%,23.1%,19.8%,31.2,0.48,Ancient
Metizport X,4,40.2%,41.5%,0.63,67.6%,20.8%,17.7%,26.0,0.20,Ancient
G2 Ares,7,36.2%,49.2%,0.75,58.7%,14.9%,17.7%,19.0,0.19,Ancient
2GAME,7,43.2%,45.3%,0.69,68.3%,22.4%,13.4%,21.1,0.16,Ancient
NoVum,4,40.7%,39.5%,0.72,61.8%,26.9%,17.7%,27.7,0.17,Ancient
After Hours,1,40.9%,36.4%,0.68,75.0%,21.4%,21.4%,27.3,0.27,Ancient
devils.one,1,40.9%,50.0%,0.77,63.6%,18.2%,19.5%,15.5,0.14,Ancient
Nirvana,3,30.4%,44.6%,0.71,38.5%,23.3%,19.1%,19.1,0.14,Ancient
Datejust,4,38.0%,48.1%,0.57,60.5%,17.1%,18.3%,16.7,0.18,Ancient
Take Flyte,21,38.6%,47.4%,0.70,61.5%,18.0%,18.1%,21.8,0.20,Ancient
XBL,1,42.9%,53.6%,0.68,53.3%,30.8%,17.5%,26.8,0.21,Ancient
ex-Corinthians,2,44.2%,37.2%,0.65,62.5%,33.3%,18.6%,23.6,0.21,Ancient
my life be like,5,43.1%,44.4%,0.66,58.3%,31.1%,18.7%,16.8,0.14,Ancient
WG Bandits,6,41.7%,43.3%,0.79,65.4%,23.5%,22.2%,19.5,0.12,Ancient
KG fe,4,35.8%,50.6%,0.69,58.5%,12.5%,17.5%,16.3,0.19,Ancient
BEE,4,41.7%,38.1%,0.65,81.2%,17.3%,22.2%,21.0,0.17,Ancient
showmakerz,3,35.0%,48.3%,0.68,48.3%,22.6%,19.8%,17.4,0.17,Ancient
