Team,Maps,Won - Lost,Pistol win %,Round 2 conv,Round 2 break,Map Name
timbermen,5,3 - 7,30.0%,100.0%,16.7%,Vertigo
OneDay fe,2,2 - 2,50.0%,100.0%,0.0%,Vertigo
L&G,6,4 - 8,33.3%,75.0%,25.0%,Vertigo
Tropa do Taco,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Alliance,33,30 - 36,45.5%,86.7%,19.4%,Vertigo
Space,19,21 - 17,55.3%,85.7%,5.9%,Vertigo
CPH Wolves,18,18 - 18,50.0%,77.8%,5.6%,Vertigo
ARCRED,8,6 - 10,37.5%,66.7%,0.0%,Vertigo
Filhos de D10S,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
ALLINNERS,1,0 - 2,0.0%,-,50.0%,Vertigo
Solid,31,28 - 34,45.2%,82.1%,15.2%,Vertigo
Nexus,19,20 - 18,52.6%,95.0%,11.8%,Vertigo
Astralis Talent,20,24 - 16,60.0%,83.3%,25.0%,Vertigo
Revenge Nation,10,10 - 10,50.0%,90.0%,0.0%,Vertigo
Molotov,2,2 - 2,50.0%,50.0%,0.0%,Vertigo
MightyWolves,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
GODSENT,9,5 - 13,27.8%,60.0%,15.4%,Vertigo
Virtus.pro,24,22 - 26,45.8%,86.4%,15.4%,Vertigo
G2 Ares,1,2 - 0,100.0%,100.0%,-,Vertigo
Zero Tenacity,52,57 - 47,54.8%,83.9%,19.1%,Vertigo
9z Academy,8,8 - 8,50.0%,100.0%,12.5%,Vertigo
PGE Turow,5,7 - 3,70.0%,85.7%,0.0%,Vertigo
The Huns,2,1 - 3,25.0%,100.0%,33.3%,Vertigo
Illuminar,21,16 - 26,38.1%,75.0%,15.4%,Vertigo
Carpe Diem,9,7 - 11,38.9%,100.0%,27.3%,Vertigo
CYBERSHOKE,33,24 - 42,36.4%,100.0%,12.2%,Vertigo
FAVBET,11,8 - 14,36.4%,75.0%,0.0%,Vertigo
Qiang,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
LYG,3,3 - 3,50.0%,100.0%,33.3%,Vertigo
Aurora Young Blud,22,13 - 31,29.5%,100.0%,16.1%,Vertigo
The QUBE,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Asian Kings,1,2 - 0,100.0%,100.0%,-,Vertigo
kONO,10,11 - 9,55.0%,63.6%,22.2%,Vertigo
ENCE Academy,1,2 - 0,100.0%,100.0%,-,Vertigo
kloogarand,1,2 - 0,100.0%,100.0%,-,Vertigo
Preasy,40,40 - 40,50.0%,90.0%,15.0%,Vertigo
K10,7,8 - 6,57.1%,75.0%,0.0%,Vertigo
TÓR,2,1 - 3,25.0%,100.0%,0.0%,Vertigo
Villainous,2,2 - 2,50.0%,50.0%,50.0%,Vertigo
RUBY,17,13 - 21,38.2%,69.2%,20.0%,Vertigo
Case,34,33 - 35,48.5%,87.5%,14.7%,Vertigo
Bravado,2,1 - 3,25.0%,100.0%,0.0%,Vertigo
devils.one,1,1 - 1,50.0%,100.0%,100.0%,Vertigo
LOS,1,2 - 0,100.0%,100.0%,-,Vertigo
NCTDK,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
esmagaB,2,2 - 2,50.0%,50.0%,0.0%,Vertigo
XI,2,1 - 3,25.0%,100.0%,0.0%,Vertigo
QUAZAR,3,4 - 2,66.7%,75.0%,0.0%,Vertigo
Young Gods,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Into the Breach,19,14 - 24,36.8%,78.6%,8.3%,Vertigo
Galorys,23,15 - 31,32.6%,93.3%,19.4%,Vertigo
LEON,1,2 - 0,100.0%,50.0%,-,Vertigo
Phoenix,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
KZG,11,10 - 12,45.5%,60.0%,16.7%,Vertigo
HOTU,8,6 - 10,37.5%,100.0%,0.0%,Vertigo
FURIA Academy,4,5 - 3,62.5%,60.0%,0.0%,Vertigo
Enterprise,18,21 - 15,58.3%,71.4%,6.7%,Vertigo
ODDIK,40,41 - 39,51.2%,85.4%,2.6%,Vertigo
V1dar,6,6 - 6,50.0%,100.0%,0.0%,Vertigo
Vantage,10,11 - 9,55.0%,63.6%,22.2%,Vertigo
Duck Duck Goose,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
EYEBALLERS,16,15 - 17,46.9%,86.7%,5.9%,Vertigo
Akatsuki fe,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Anonymo,4,2 - 6,25.0%,100.0%,16.7%,Vertigo
SkyFury,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
PERA,14,10 - 18,35.7%,60.0%,11.1%,Vertigo
Legacy,7,7 - 7,50.0%,85.7%,14.3%,Vertigo
FORZE,1,2 - 0,100.0%,100.0%,-,Vertigo
PARIVISION,23,15 - 31,32.6%,93.3%,3.2%,Vertigo
Atrix,3,2 - 4,33.3%,50.0%,0.0%,Vertigo
Nuclear TigeRES,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
KG fe,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Fisher College,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
choccy milk,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Sampi,4,5 - 3,62.5%,80.0%,0.0%,Vertigo
JOGA DE TERNO,1,0 - 2,0.0%,-,0.0%,Vertigo
Grayfox,2,3 - 1,75.0%,33.3%,0.0%,Vertigo
Brasil Storm fe,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
BetBoom,22,19 - 25,43.2%,68.4%,8.3%,Vertigo
INFINITE,3,5 - 1,83.3%,80.0%,0.0%,Vertigo
BIG Academy,4,2 - 6,25.0%,50.0%,16.7%,Vertigo
ADEPTS,6,9 - 3,75.0%,88.9%,0.0%,Vertigo
1WIN,12,12 - 12,50.0%,91.7%,8.3%,Vertigo
MIGHT,4,4 - 4,50.0%,50.0%,25.0%,Vertigo
Party Astronauts,9,9 - 9,50.0%,88.9%,11.1%,Vertigo
GL Academy,6,6 - 6,50.0%,100.0%,0.0%,Vertigo
NAVI Junior,4,3 - 5,37.5%,66.7%,40.0%,Vertigo
The Prodigies SE,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Intense,4,4 - 4,50.0%,100.0%,0.0%,Vertigo
Guild Eagles,10,12 - 8,60.0%,91.7%,12.5%,Vertigo
Gelo,1,0 - 2,0.0%,-,50.0%,Vertigo
GENKID4M4,4,2 - 6,25.0%,100.0%,20.0%,Vertigo
Nordix,2,2 - 2,50.0%,100.0%,0.0%,Vertigo
Hype,16,20 - 12,62.5%,90.0%,0.0%,Vertigo
Gaimin Gladiators,18,18 - 18,50.0%,94.4%,0.0%,Vertigo
DMS,15,10 - 20,33.3%,90.0%,5.0%,Vertigo
ex-Enterprise,2,2 - 2,50.0%,100.0%,50.0%,Vertigo
NKT,2,1 - 3,25.0%,0.0%,33.3%,Vertigo
Northern Lights,1,2 - 0,100.0%,100.0%,-,Vertigo
ECLOT,9,9 - 9,50.0%,77.8%,11.1%,Vertigo
SPORT,4,6 - 2,75.0%,83.3%,0.0%,Vertigo
jahsdnmasjdm,3,0 - 6,0.0%,-,16.7%,Vertigo
Vibe,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Limitless,8,7 - 9,43.8%,57.1%,11.1%,Vertigo
Lausanne,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
HAVU,7,4 - 10,28.6%,75.0%,0.0%,Vertigo
VexX,6,9 - 3,75.0%,66.7%,0.0%,Vertigo
Bad News Chickens,2,2 - 2,50.0%,100.0%,0.0%,Vertigo
W7M,3,3 - 3,50.0%,66.7%,0.0%,Vertigo
Rocket,2,2 - 2,50.0%,50.0%,0.0%,Vertigo
Patins da Ferrari,6,4 - 8,33.3%,75.0%,25.0%,Vertigo
Mythic,12,14 - 10,58.3%,71.4%,20.0%,Vertigo
Astralis W,14,15 - 13,53.6%,73.3%,0.0%,Vertigo
Permitta W,2,1 - 3,25.0%,100.0%,33.3%,Vertigo
Corinthians,4,4 - 4,50.0%,50.0%,0.0%,Vertigo
DXA,13,14 - 12,53.8%,64.3%,16.7%,Vertigo
CEPTER,3,2 - 4,33.3%,100.0%,25.0%,Vertigo
paiN Academy,5,3 - 7,30.0%,66.7%,0.0%,Vertigo
hypewrld,3,2 - 4,33.3%,100.0%,0.0%,Vertigo
Nigma Galaxy,3,3 - 3,50.0%,66.7%,0.0%,Vertigo
UNPAID,1,0 - 2,0.0%,-,0.0%,Vertigo
Croatia,1,2 - 0,100.0%,100.0%,-,Vertigo
Will to Win,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
InControl,6,8 - 4,66.7%,50.0%,0.0%,Vertigo
VP.Angels,4,1 - 7,12.5%,100.0%,14.3%,Vertigo
Hungary,3,1 - 5,16.7%,100.0%,0.0%,Vertigo
ex-ENEIDA,2,1 - 3,25.0%,100.0%,0.0%,Vertigo
GenOne,5,3 - 7,30.0%,100.0%,0.0%,Vertigo
Shush,2,1 - 3,25.0%,100.0%,0.0%,Vertigo
Spirit HU,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Blessed,2,1 - 3,25.0%,100.0%,0.0%,Vertigo
MANTRA,4,2 - 6,25.0%,100.0%,0.0%,Vertigo
The Last Resort,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
NOM,8,7 - 9,43.8%,85.7%,11.1%,Vertigo
OVERFRAG,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Limitless Angels,2,1 - 3,25.0%,100.0%,0.0%,Vertigo
cleanup crew fe,2,2 - 2,50.0%,100.0%,0.0%,Vertigo
Incheon On Sla2ers,1,1 - 1,50.0%,0.0%,100.0%,Vertigo
PIXEL,1,0 - 2,0.0%,-,0.0%,Vertigo
Atlantic,1,1 - 1,50.0%,0.0%,0.0%,Vertigo
K27,1,1 - 1,50.0%,100.0%,100.0%,Vertigo
One More,7,7 - 7,50.0%,85.7%,0.0%,Vertigo
Pantsu,2,1 - 3,25.0%,100.0%,0.0%,Vertigo
Viperio,6,4 - 8,33.3%,100.0%,0.0%,Vertigo
ESC,2,2 - 2,50.0%,50.0%,0.0%,Vertigo
1WIN Gang,3,4 - 2,66.7%,100.0%,0.0%,Vertigo
Evolve,1,0 - 2,0.0%,-,0.0%,Vertigo
15 Average,2,3 - 1,75.0%,66.7%,0.0%,Vertigo
Lore,2,2 - 2,50.0%,100.0%,0.0%,Vertigo
Betera,6,5 - 7,41.7%,100.0%,14.3%,Vertigo
Bounty Hunters,2,1 - 3,25.0%,100.0%,0.0%,Vertigo
XBL,1,0 - 2,0.0%,-,0.0%,Vertigo
TSM Impact,5,3 - 7,30.0%,33.3%,14.3%,Vertigo
Retirement Home,1,0 - 2,0.0%,-,50.0%,Vertigo
CAPIVARAS,1,0 - 2,0.0%,-,0.0%,Vertigo
Kazakhstan,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
ex-Sprout,1,0 - 2,0.0%,-,0.0%,Vertigo
Onliners5,1,2 - 0,100.0%,50.0%,-,Vertigo
Nixuh,1,1 - 1,50.0%,100.0%,100.0%,Vertigo
Taubate,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
VFE,2,3 - 1,75.0%,33.3%,0.0%,Vertigo
xGOD,1,2 - 0,100.0%,100.0%,-,Vertigo
9 Pandas,2,1 - 3,25.0%,100.0%,0.0%,Vertigo
ROYALS,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
LA RUGONETA,4,2 - 6,25.0%,0.0%,0.0%,Vertigo
Canada fe,1,1 - 1,50.0%,0.0%,0.0%,Vertigo
PEAK fe,1,1 - 1,50.0%,0.0%,0.0%,Vertigo
more whiskey,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Pikejagarna,1,0 - 2,0.0%,-,0.0%,Vertigo
Sharks Youngsters,1,2 - 0,100.0%,50.0%,-,Vertigo
INFURITY,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Denial,1,0 - 2,0.0%,-,0.0%,Vertigo
PeeP,3,1 - 5,16.7%,100.0%,0.0%,Vertigo
FreeESPI,1,0 - 2,0.0%,-,0.0%,Vertigo
Nouns fe,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Lazer Cats,3,3 - 3,50.0%,66.7%,33.3%,Vertigo
CatEvil,1,0 - 2,0.0%,-,0.0%,Vertigo
gfg123321,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
LaChampionsLiga,1,2 - 0,100.0%,50.0%,-,Vertigo
Illyrians,1,1 - 1,50.0%,0.0%,0.0%,Vertigo
2GAME,5,5 - 5,50.0%,80.0%,0.0%,Vertigo
ex-Divina fe,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
FORZE YNG,1,2 - 0,100.0%,100.0%,-,Vertigo
INGLORIOUS,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Goliath,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
SKIBIDIES,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Nirvana,1,0 - 2,0.0%,-,0.0%,Vertigo
Vaseline Worms,1,0 - 2,0.0%,-,50.0%,Vertigo
Clutch,1,0 - 2,0.0%,-,0.0%,Vertigo
XNL,1,0 - 2,0.0%,-,50.0%,Vertigo
Revel,1,0 - 2,0.0%,-,50.0%,Vertigo
ex-2GAME,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Portugal fe,1,0 - 2,0.0%,-,0.0%,Vertigo
Crescent fe,2,2 - 2,50.0%,100.0%,0.0%,Vertigo
FPL Friends,1,0 - 2,0.0%,-,0.0%,Vertigo
BeBold,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
BOGATYRI,1,0 - 2,0.0%,-,0.0%,Vertigo
TMVG,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Priority,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Sweden fe,1,0 - 2,0.0%,-,0.0%,Vertigo
Canon Event,4,3 - 5,37.5%,66.7%,0.0%,Vertigo
Wolves,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
NuTorious,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Let Her Cook,1,0 - 2,0.0%,-,0.0%,Vertigo
WG Bandits,2,0 - 4,0.0%,-,0.0%,Vertigo
BC.Game,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
SovvyKiNG,1,0 - 2,0.0%,-,0.0%,Vertigo
Over30,1,0 - 2,0.0%,-,0.0%,Vertigo
ROSOMAHA,1,1 - 1,50.0%,0.0%,0.0%,Vertigo
500,1,2 - 0,100.0%,100.0%,-,Vertigo
Supernova,1,1 - 1,50.0%,100.0%,0.0%,Vertigo
Marca Registrada,2,2 - 2,50.0%,100.0%,0.0%,Vertigo
sunday school,1,1 - 1,50.0%,0.0%,0.0%,Vertigo
The Art of War,1,0 - 2,0.0%,-,50.0%,Vertigo
Torqued,1,0 - 2,0.0%,-,0.0%,Vertigo
Come on now dawg,1,1 - 1,50.0%,0.0%,0.0%,Vertigo
Karma,1,0 - 2,0.0%,-,0.0%,Vertigo
GRDX,2,2 - 2,50.0%,50.0%,50.0%,Vertigo
Floki,1,0 - 2,0.0%,-,50.0%,Vertigo
MagicLight,1,0 - 2,0.0%,-,0.0%,Vertigo
ABT,2,2 - 2,50.0%,100.0%,0.0%,Vertigo
latch gibb,1,0 - 2,0.0%,-,50.0%,Vertigo
AURA,1,1 - 1,50.0%,0.0%,0.0%,Vertigo
Maximum Ego,1,0 - 2,0.0%,-,0.0%,Vertigo
Ninjas In Kandooras,1,0 - 2,0.0%,-,0.0%,Vertigo
Juggernauts,1,0 - 2,0.0%,-,50.0%,Vertigo
LFO,1,0 - 2,0.0%,-,0.0%,Vertigo
